SKU,product_name,stock_level,product_location,date_added,added_by_name,product_description
SKU-10040,Digital Camera,55,San Diego,2024-03-19,Chris Anderson,"Point-and-shoot camera."
SKU-10041,Granola Bar,500,Denver,2024-09-01,Jane Doe,"On-the-go snack bar."
SKU-10042,Beef Jerky,300,Austin,2024-09-01,John Smith,"Dried, cured meat snack."
SKU-10043,Mixed Nuts,220,Phoenix,2024-09-02,Alice Johnson,"Assortment of roasted nuts."
SKU-10044,Pretzels,450,Philadelphia,2024-09-02,Robert Brown,"Salted baked snack."
SKU-10045,Crackers,380,Columbus,2024-09-03,Emily Davis,"Savory biscuits."
SKU-10046,Olive Oil,140,San Francisco,2024-09-03,Michael Miller,"Cooking and finishing oil."
SKU-10047,Pasta,300,New York,2024-09-04,Sarah Wilson,"Dried Italian noodles."
SKU-10048,Canned Tuna,400,Seattle,2024-09-04,David Moore,"Shelf-stable flaked fish."
SKU-10049,Cereal,280,Chicago,2024-09-05,Jessica Taylor,"Breakfast grain food."
SKU-10050,Peanut Butter,190,Nashville,2024-09-05,Chris Anderson,"Spread made from ground peanuts."
SKU-10051,Chocolate Bar,450,San Jose,2024-08-10,Jane Doe,"Solid confectionery bar."
SKU-10052,Gummy Candies,370,Los Angeles,2024-08-10,John Smith,"Chewy, fruit-flavored sweets."
SKU-10053,Sparkling Water,400,Austin,2024-08-11,Alice Johnson,"Carbonated mineral water."
SKU-10054,Energy Drink,320,Miami,2024-08-11,Robert Brown,"Beverage containing caffeine."
SKU-10055,Protein Powder,110,Denver,2024-08-12,Emily Davis,"Nutritional supplement."
SKU-10056,Hard Seltzer,250,San Diego,2024-08-12,Michael Miller,"Alcoholic carbonated beverage."
SKU-10057,Craft Beer,130,Portland,2024-08-13,Sarah Wilson,"Beer from a small brewery."
SKU-10058,Red Wine,90,San Francisco,2024-08-13,David Moore,"Alcoholic beverage from dark grapes."
SKU-10059,White Wine,95,San Jose,2024-08-14,Jessica Taylor,"Alcoholic beverage from light grapes."
SKU-10060,Ground Coffee,160,Seattle,2024-08-14,Chris Anderson,"Pre-ground beans for brewing."
SKU-10061,Scented Candle,200,New York,2023-11-15,Jane Doe,"Wax candle with fragrance."
SKU-10062,Dish Soap,310,Chicago,2023-11-15,John Smith,"Liquid detergent for washing dishes."
SKU-10063,Laundry Detergent,240,Houston,2023-11-16,Alice Johnson,"Cleaning agent for clothes."
SKU-10064,Lightbulb,400,Los Angeles,2023-11-16,Robert Brown,"LED electric light source."
SKU-10065,Batteries,500,Phoenix,2023-11-17,Emily Davis,"AA alkaline power cells."
SKU-10066,Duct Tape,180,Dallas,2023-11-17,Michael Miller,"Strong adhesive silver tape."
SKU-10067,Scissors,210,Philadelphia,2023-11-18,Sarah Wilson,"General purpose cutting tool."
SKU-10068,Picture Frame,120,San Antonio,2023-11-18,David Moore,"Decorative edging for a photo."
SKU-10069,Throw Pillow,90,San Diego,2023-11-19,Jessica Taylor,"Decorative cushion for furniture."
SKU-10070,Bath Towel,160,Miami,2023-11-19,Chris Anderson,"Absorbent cotton towel."
SKU-10071,Toothpaste,340,New York,2024-01-20,Jane Doe,"Fluoride paste for dental hygiene."
SKU-10072,Shampoo,260,Los Angeles,2024-01-20,John Smith,"Liquid for washing hair."
SKU-10073,Conditioner,250,Los Angeles,2024-01-21,Alice Johnson,"Hair moisturizing treatment."
SKU-10074,Bar Soap,400,Chicago,2024-01-21,Robert Brown,"Solid cleansing agent for hands/body."
SKU-10075,Deodorant,300,Miami,2024-01-22,Emily Davis,"Antiperspirant stick."
SKU-10076,Razor,220,Houston,2024-01-22,Michael Miller,"Disposable shaving tool."
SKU-10077,Shaving Cream,180,Dallas,2024-01-23,Sarah Wilson,"Foam for aiding in shaving."
SKU-10078,Lip Balm,380,Denver,2024-01-23,David Moore,"Medicated stick for chapped lips."
SKU-10079,Hand Sanitizer,410,Phoenix,2024-01-24,Jessica Taylor,"Alcohol-based gel for cleaning hands."
SKU-10080,Moisturizer,170,San Diego,2024-01-24,Chris Anderson,"Lotion for hydrating skin."
SKU-10081,Grilling Spatula,100,Austin,2024-05-20,Jane Doe,"Tool for flipping food on a grill."
SKU-10082,Charcoal Briquettes,130,Nashville,2024-05-20,John Smith,"Fuel for barbecue grilling."
SKU-10083,Garden Hose,80,Portland,2024-05-21,Alice Johnson,"Flexible tube for watering plants."
SKU-10084,Flower Seeds,300,Seattle,2024-05-21,Robert Brown,"Packets of seeds for planting."
SKU-10085,Bird Feeder,95,Columbus,2024-05-22,Emily Davis,"Device to dispense food for birds."
SKU-10086,Kite,110,San Francisco,2024-05-22,Michael Miller,"Toy flown in the wind on a string."
SKU-10087,Beach Ball,250,Miami,2024-05-23,Sarah Wilson,"Inflatable lightweight ball."
SKU-10088,Snorkel Mask,75,San Diego,2024-05-23,David Moore,"Equipment for underwater breathing."
SKU-10089,Ski Goggles,60,Denver,2024-11-01,Jessica Taylor,"Protective eyewear for snow sports."
SKU-10090,Snow Shovel,120,Boston,2024-11-01,Chris Anderson,"Tool for clearing snow."
SKU-10091,Running Shoes,140,Austin,2024-03-01,Jane Doe,"Athletic footwear for jogging."
SKU-10092,Hiking Boot,90,Denver,2024-03-01,John Smith,"Sturdy footwear for trail walking."
SKU-1D093,Flannel Shirt,110,Portland,2024-09-10,Alice Johnson,"Warm, soft-woven cotton shirt."
SKU-10094,Beanie,180,Chicago,2024-09-10,Robert Brown,"Close-fitting knit cap."
SKU-10095,Gloves,160,Boston,2024-09-11,Emily Davis,"Protective hand coverings."
SKU-10096,Swim Trunks,130,Miami,2024-04-10,Michael Miller,"Men's swimwear."
SKU-10097,Yoga Mat,100,Los Angeles,2024-04-10,Sarah Wilson,"Cushioned mat for exercise."
SKU-10098,Dumbbell Set,50,San Jose,2024-04-11,David Moore,"Pair of weights for strength training."
SKU-10099,Bicycle Helmet,85,San Francisco,2024-04-11,Jessica Taylor,"Protective headgear for cycling."
SKU-10100,Fishing Rod,70,Seattle,2024-06-20,Chris Anderson,"Equipment used for angling."
SKU-10101,Ice Cream Scoop,90,Jacksonville,2024-11-05,Jane Doe,"Tool for serving frozen desserts."
SKU-10102,Ice Cream Cone,300,San Francisco,2024-11-05,John Smith,"Edible cone for holding ice cream."
SKU-10115,Muffin,150,Philadelphia,2024-11-20,Emily Davis,"Individually portioned baked good."
SKU-10116,Croissant,180,San Antonio,2024-11-20,Michael Miller,"Buttery, flaky viennoiserie pastry."
SKU-10117,Biscotti,200,San Diego,2024-11-21,Sarah Wilson,"Twice-baked almond biscuit."
SKU-10118,Coffee Mug,220,Dallas,2024-11-21,David Moore,"Ceramic cup for hot beverages."
SKU-10119,Scone,160,San Jose,2024-11-22,Jessica Taylor,"Single-serving baked quick bread."
SKU-10120,Milkshake,120,Austin,2024-11-25,Chris Anderson,"Blended beverage made with ice cream."
SKU-10121,Banana Split,80,Jacksonville,2024-11-25,Jane Doe,"Ice cream dessert with banana and toppings."
SKU-10122,Ice Cream Sandwich,240,San Francisco,2024-11-26,John Smith,"Ice cream layered between two cookies."
SKU-10123,Whipped Cream,300,Columbus,2024-11-26,Alice Johnson,"Aerosol can of sweetened cream topping."
SKU-10124,Maraschino Cherry,210,Seattle,2024-11-27,Robert Brown,"Jar of preserved, sweetened cherries."
SKU-10125,Ice Cream Float,100,Denver,2024-11-28,Emily Davis,"Beverage with soda and a scoop of ice cream."
SKU-10126,Sundae,110,Boston,2024-11-28,Michael Miller,"Ice cream dessert with sauce and toppings."
SKU-10128,Brownie,160,Portland,2024-11-29,David Moore,"Rich chocolate baked dessert square."
SKU-10129,Sorbet,130,Miami,2024-11-30,Jessica Taylor,"Frozen dessert made from sweetened water and fruit."
